Scr_bytes	Dst_host_srv_rerror_rate	label
0	1.0	1
12983	0.0	0
267	0.0	0
1022	0.04	0
327	0.0	0
616	0.0	0
0	1.0	1
0	0.0	1
773	0.07	0
350	0.0	0
213	0.0	0
246	0.0	0
45	0.0	0
0	1.0	1
0	1.0	1
196	0.0	0
277	0.0	0
0	1.0	1
0	1.0	1
294	0.0	0
300	0.0	0
520	0.0	1
54	0.0	0
76944	0.07	1
720	0.0	0
301	0.0	0
1	0.0	0
209	0.0	0
43	0.0	0
88382	0.0	0
0	0.0	1
277	0.0	0
321	0.0	0
335	0.0	0
0	1.0	1
234	0.0	0
0	0.0	1
54540	0.06	1
46	0.0	0
318	0.0	0
256	0.0	0
0	1.0	1
0	1.0	1
229	0.0	0
0	1.0	1
0	0.06	1
282	0.0	0
233	0.0	0
257	0.0	0
214	0.0	0
0	1.0	1
0	0.0	1
203	0.0	0
0	1.0	1
0	0.01	0
307	0.0	0
320	0.0	0
0	1.0	1
215	0.0	0
358	0.0	0
0	0.19	1
270	0.0	0
337	0.0	0
0	1.0	1
0	1.0	1
1480	0.0	1
219	0.0	0
258	0.0	0
324	0.0	0
0	1.0	1
236	0.0	0
1699	0.0	0
327	0.0	0
303	0.0	0
0	1.0	1
0	0.0	0
282	0.0	0
44	0.0	0
0	1.0	1
0	1.0	1
0	1.0	1
995	0.0	0
0	1.0	1
197	0.0	0
0	1.0	1
230	0.0	0
161	0.0	0
0	1.0	1
0	0.19	1
0	0.22	1
224	0.0	0
0	0.0	1
321	0.0	0
1032	0.0	1
0	1.0	1
303	0.0	0
508	0.0	1
0	1.0	1
8	0.0	0
43	0.0	0
0	1.0	1
257	0.0	0
42	0.0	0
42	0.0	0
219	0.0	0
0	0.01	1
260	0.0	0
0	0.01	1
357	0.0	0
0	1.0	1
218	0.0	0
290	0.0	0
42	0.0	0
0	1.0	1
0	1.0	1
72564	0.18	1
0	1.0	1
244	0.0	0
0	0.01	1
0	0.0	1
1480	0.0	1
226	0.0	0
0	1.0	1
0	0.0	1
0	1.0	1
0	0.0	1
0	0.0	1
0	1.0	1
0	0.0	1
0	1.0	1
0	0.0	1
0	0.0	1
313	0.0	0
0	0.0	1
0	0.01	1
285	0.0	0
0	1.0	1
0	1.0	1
69644	0.19	1
293	0.0	0
4030	0.0	0
508	0.0	1
44	0.0	0
274	0.0	0
205	0.0	0
44	0.0	0
0	1.0	1
0	1.0	1
45	0.0	0
0	1.0	1
389	0.0	0
0	0.01	1
0	1.0	1
22568	0.0	0
321	0.0	0
44	0.0	0
360	0.0	0
0	1.0	1
217	0.0	0
0	0.32	1
197	0.0	0
280	0.0	0
0	1.0	1
0	0.01	1
353	0.0	0
245	0.0	0
72564	0.49	1
326	0.0	0
276	0.0	0
105	0.0	0
1008	0.0	1
283	0.0	0
33	0.0	0
227	0.0	0
211	0.0	0
230	0.0	0
53	0.0	0
